sample,f0,f15,f16,f127,f128,f255
30,3920492.4138471805,34987054.78972785,36888118.33708354,218627022.29995635,219731927.04899964,338501117.05368644
31,3226326.8269075626,30692735.02961847,32267432.480397575,200481154.77145183,200843542.8800961,315965749.31277484
32,3850152.0810072026,34610459.28079457,36556388.22884303,214454214.0253059,214961306.964746,331939188.740622
33,3457456.0038723596,32087277.394513074,34266525.0316965,206611570.24793464,206910821.43596107,322934831.7509517
34,3428649.797709664,31578614.96194778,33135624.10948011,201897839.6931151,202716399.75673997,316756414.3173906
35,3606983.119319014,33276762.836511314,34955257.270693466,211104074.30863425,212539851.22210348,329750049.46250707
36,3855793.3294775477,34974818.13094569,36605900.87122043,219683655.53602812,221238938.0530972,339385711.8615315
37,3158759.239370776,30150450.749238707,31807627.469067033,199362041.46730477,200722601.3649143,315188955.77898866
38,3236979.250963,29996700.36295995,31926441.478832774,201409869.08358544,202757502.02757525,318440913.288539
39,3943062.1820906205,35032404.974601515,37463005.28228372,217580504.78677124,219780219.78021988,336021505.37634414
40,4052520.667855398,36978145.91576373,38592158.07347939,220167327.16864872,220896841.17517,336609667.429649
41,3979941.096871763,36277888.626881994,38440839.54793571,221385875.58113793,222222222.2222225,339512460.10728604
42,3237084.0347015294,29999400.01199971,31464350.890441038,199163513.24437353,199401794.61615172,314307266.7840081
43,3735245.7791722617,33852403.520649925,35891177.94846015,210304942.16614127,211059518.7842972,326062147.44530255
44,5020584.396023697,39744048.32876265,43012602.692589074,232612235.403582,234852043.2127768,352683924.6667128
45,3433240.6358361696,32056419.297964435,34129692.83276453,205465379.08362442,207296849.08789426,321533069.67621636
46,4081632.6530612214,35960874.56846953,37708812.54949285,220312844.23881856,221141088.0141534,338409475.4653128
47,4223686.43351918,36358347.87667254,38406882.513346374,219925225.42335632,221680336.9541125,338810774.1826192
48,4217273.954116068,35686246.52059089,37924757.281553335,220945647.37074694,221680336.95411184,340599455.04087263
49,3516174.402250349,33889114.81632112,35747479.8026739,214592274.67811203,215703192.4072481,332922728.63468367
50,3377579.6264397027,32291397.571686942,33546915.361132484,205549845.83761573,205676676.26491123,321274818.47972745
51,4443457.009553423,38122831.76394332,40539992.702801324,226193168.9662967,227894257.064722,344305192.12229806
52,4098360.65573771,36367603.738589704,37982376.17745367,219346347.88330737,220994475.13812175,336700336.70033604
53,3401823.377330261,31990786.65344386,34097108.56519366,206270627.06270662,207125103.56255198,321760674.41037375
54,3542205.377067756,33939723.05185983,35306994.31557391,213447171.82497367,215053763.44085997,332104546.5112426
55,3542330.8537017484,32778287.66225244,34319445.397762306,207943439.38448742,209336403.60058656,325065825.82973087
56,3506434.306953265,32404406.999351967,34371348.044270284,206611570.2479335,207210940.7376707,322133814.38649595
57,3725782.414306995,33805483.24938305,36136306.14678573,213903743.3155083,214546234.71358117,332259029.13911736
58,4187780.057791374,37173339.281067714,39119039.23639627,223613595.70661888,223763705.5269636,342207925.5355551
59,4604899.613188433,39742468.80216199,41891835.281303786,230043708.30457756,231213872.83236957,348068221.37138855
60,3872966.6924864394,35420799.09322763,38072032.285083406,218007412.25201595,219394471.25932392,336134453.7815113
61,3433358.5112957614,32001024.032769058,33996260.41135478,204750204.7502045,206440957.88604516,320605302.8117076
62,3781004.2347247424,34642832.397976905,36959012.455187194,214961306.964746,216543958.4235602,332457860.9661221
63,3845562.221196747,35149384.88576447,36782285.65123038,218435998.25251186,220118864.18666002,337621121.5773668
