PVT,corner,temp,vdd,code,f_hz,edges,idd_run_A,idd_dis_A,vbp,vbn,clk_dis_V,clk_hold_min_V,tstart_s,vmax,vmin
ff_125C_1.20V,mos_ff,125,1.2,1,2574665.2935118466,12,1.10738e-05,8.60819e-06,0.970159,0.133355,1.19999,1.19999,1.7499882758620683e-07,1.21382,-0.0154549
ff_125C_1.20V,mos_ff,125,1.2,2,3312245.3711370905,12,1.35826e-05,1.1014e-05,0.956665,0.145574,1.19999,1.19999,1.3616548717948715e-07,1.2132,-0.0191109
ff_125C_1.20V,mos_ff,125,1.2,4,4790419.161676658,12,1.87236e-05,1.58059e-05,0.935792,0.164511,1.19999,1.19999,9.531554621848741e-08,1.22008,-0.025477
ff_125C_1.20V,mos_ff,125,1.2,8,7762167.19708143,12,2.87857e-05,2.53179e-05,0.906039,0.191421,1.19999,1.19999,5.9477198019801963e-08,1.21895,-0.0329274
ff_125C_1.20V,mos_ff,125,1.2,16,13740038.472107712,12,4.84616e-05,4.40828e-05,0.86605,0.227243,1.19999,1.19999,3.43299159891599e-08,1.22139,-0.0330268
ff_125C_1.20V,mos_ff,125,1.2,32,25790478.15546495,12,8.67595e-05,8.06649e-05,0.813979,0.27318,1.19999,1.19999,1.884513941605839e-08,1.22006,-0.0150109
ff_125C_1.20V,mos_ff,125,1.2,64,49497599.3664307,12,0.00015946,0.000150396,0.747221,0.330957,1.19999,1.19999,1.0220168253968253e-08,1.21073,-0.00839588
ff_125C_1.20V,mos_ff,125,1.2,128,92004784.2487808,12,0.000292072,0.000278096,0.662863,0.402329,1.19999,1.19999,5.757881481481482e-09,1.20263,-0.00579172
ff_125C_1.20V,mos_ff,125,1.2,255,154631204.57708365,12,0.000515642,0.000495098,0.559822,0.487088,1.19999,1.19999,3.5616072289156646e-09,1.20406,-0.00233999
ff_125C_1.32V,mos_ff,125,1.32,0,1910949.7420217828,12,1.03678e-05,7.13346e-06,1.10018,0.124549,1.31999,1.31999,2.339084210526316e-07,1.33005,-0.0128984
ff_125C_1.32V,mos_ff,125,1.32,1,2696144.5133459144,12,1.34217e-05,1.00049e-05,1.08205,0.140965,1.31999,1.31999,1.659418275862069e-07,1.3341,-0.0126779
ff_125C_1.32V,mos_ff,125,1.32,2,3480076.5616843584,12,1.65189e-05,1.28686e-05,1.06789,0.153827,1.31999,1.31999,1.2924948717948714e-07,1.33504,-0.019842
ff_125C_1.32V,mos_ff,125,1.32,4,5047445.992327893,12,2.25782e-05,1.85754e-05,1.046,0.173732,1.31999,1.31999,8.983154621848739e-08,1.33837,-0.0264641
ff_125C_1.32V,mos_ff,125,1.32,8,8180628.2722513005,12,3.45763e-05,2.99144e-05,1.01468,0.202053,1.31999,1.31999,5.614619801980197e-08,1.34522,-0.0355925
ff_125C_1.32V,mos_ff,125,1.32,16,14482259.232440261,12,5.81035e-05,5.23237e-05,0.972338,0.239922,1.31999,1.31999,3.23909159891599e-08,1.34582,-0.0376561
