PVT,code,tPLH ps,tPHL ps,mean ps,rise 20-80 ps,fall 20-80 ps,slope up V/ns,slope down V/ns,11-stage ring MHz
ff_-40C_1.08V,255,99.247,117.00000000000001,108.12350000000002,122.80000000000001,110.39,6.74031,6.405690000000001,420.39469176030605
ff_-40C_1.20V,0,6639.7,7011.8,6825.75,10651.199999999999,7401.7,0.0705405,0.149291,6.659274871559235
ff_-40C_1.20V,16,700.6700000000001,804.67,752.6700000000001,1225.99,959.47,0.734844,1.00781,60.39106840254754
ff_-40C_1.20V,128,118.91000000000001,145.22,132.065,183.26,162.26,4.914000000000001,4.914000000000001,344.1831329613861
ff_-40C_1.20V,255,80.953,96.42,88.6865,111.026,96.82,8.49287,8.16327,512.5306044837201
ff_-40C_1.32V,0,6585.8,6501.6,6543.7,10035.199999999999,6666.5,0.0765772,0.176153,6.946306440476405
ff_-40C_1.32V,16,673.07,750.6800000000001,711.8750000000001,1152.48,873.0699999999999,0.7872140000000001,1.2737,63.85186367627105
ff_-40C_1.32V,128,103.92999999999999,128.20999999999998,116.07,170.85999999999999,147.69,5.7591600000000005,5.99591,391.613211463302
ff_-40C_1.32V,255,68.959,83.06,76.0095,102.296,87.26,10.2469,10.0418,598.0113729802914
ff_27C_1.08V,0,9720.800000000001,10056.4,9888.6,14666.099999999999,10256.2,0.0422775,0.0903463,4.596661352926143
ff_27C_1.08V,16,976.98,1156.01,1066.4950000000001,1703.41,1329.1000000000001,0.454421,0.660066,42.62049559964694
ff_27C_1.08V,128,165.92000000000002,207.97,186.94500000000002,261.82,232.0,3.12094,3.13498,243.14394851183746
ff_27C_1.08V,255,111.939,136.98,124.45949999999999,157.091,140.21,5.4073,5.15144,365.215555699207
ff_27C_1.20V,0,9573.2,9137.2,9355.2,13594.0,9203.0,0.048240200000000004,0.107354,4.8587465211374905
ff_27C_1.20V,16,925.25,1055.58,990.4150000000001,1570.55,1187.7,0.502492,0.8466210000000001,45.894443697384894
ff_27C_1.20V,128,142.98000000000002,180.37,161.675,239.44,206.85999999999999,3.76176,3.94348,281.1476446856067
ff_27C_1.20V,255,93.64999999999999,115.92999999999999,104.78999999999999,141.916,123.82,6.72024,6.53061,433.7679688381092
ff_27C_1.32V,0,9423.6,8409.8,8916.7,12784.199999999999,8486.300000000001,0.054652700000000005,0.12255100000000001,5.097686975511731
ff_27C_1.32V,16,896.46,983.85,940.1550000000001,1468.25,1082.56,0.5539240000000001,1.02624,48.34792715514511
ff_27C_1.32V,128,128.44,161.96,145.2,223.23,188.45999999999998,4.37014,4.8184000000000005,313.04783370899077
ff_27C_1.32V,255,81.423,101.83,91.6265,130.721,112.02000000000001,8.03384,8.0,496.0851440854497
ff_125C_1.08V,0,13392.0,10839.1,12115.55,17241.5,12230.5,0.034148000000000005,0.0607646,3.751752537404035
ff_125C_1.08V,16,1508.3,1668.9299999999998,1588.615,2377.4300000000003,1761.57,0.262838,0.480951,28.612688067622088
ff_125C_1.08V,128,211.36999999999998,284.03999999999996,247.70499999999998,376.11,318.51000000000005,2.1178500000000002,2.3591100000000003,183.50273694332154
ff_125C_1.08V,255,131.266,177.49,154.378,216.74200000000002,192.99,3.9573500000000004,3.86958,294.4366778591862
ff_125C_1.20V,0,13204.800000000001,10071.4,11638.1,16595.6,11726.4,0.040038000000000004,0.06691760000000001,3.9056672012223177
ff_125C_1.20V,16,1472.54,1537.86,1505.1999999999998,2198.25,1598.92,0.304956,0.574451,30.198342714951806
ff_125C_1.20V,128,191.66,253.55,222.605,346.27,287.0,2.47704,2.9304,204.19373084407562
ff_125C_1.20V,255,114.771,155.39,135.0805,197.59300000000002,172.5,4.779730000000001,4.828,336.4996831855483
ff_125C_1.32V,0,12976.0,9321.4,11148.699999999999,16033.8,11312.6,0.0461926,0.07301690000000001,4.0771162067815485
ff_125C_1.32V,16,1443.02,1437.0,1440.0099999999998,2053.92,1472.99,0.34997900000000004,0.6653560000000001,31.56543736123045
ff_125C_1.32V,128,178.2,231.28,204.74,322.93,262.69,2.8208100000000003,3.54077,222.01106503148117
ff_125C_1.32V,255,103.243,139.5,121.3715,183.07,157.13,5.5776200000000005,5.8420000000000005,374.5075693597381
sf_-40C_1.08V,0,7902.9,11306.099999999999,9604.499999999998,14866.199999999999,12492.1,0.064194,0.07778460000000001,4.732630064505749
sf_-40C_1.08V,16,890.15,1301.02,1095.585,1668.8799999999999,1498.39,0.5253680000000001,0.522661,41.48883514701776
sf_-40C_1.08V,128,175.2,243.22000000000003,209.21,234.39999999999998,225.72,3.45048,3.14548,217.26755630488722
sf_-40C_1.08V,255,118.252,160.5,139.376,135.445,132.46,5.973450000000001,5.3032200000000005,326.12892789680757
sf_-40C_1.20V,0,7396.2,9875.9,8636.05,13421.900000000001,10507.4,0.07022880000000001,0.10858300000000001,5.263349037412412
sf_-40C_1.20V,16,785.13,1112.9199999999998,949.0250000000001,1514.87,1282.04,0.65166,0.7220650000000001,47.896046420848194
sf_-40C_1.20V,128,138.94,195.51000000000002,167.22500000000002,211.52,195.73000000000002,4.3064800000000005,4.01875,271.8166868264043
