sample,unit_A,ifs_A,dnl_min,dnl_max,worst_code,inl_max,monotonic
35,2.575825780392157e-06,0.000662039837,-0.07895401231725496,0.18736990027886646,128,0.12491375200699814,True
36,2.574795697568627e-06,0.000661881449,-0.02321492832426786,0.11416335001218147,100,0.12305426758490146,True
37,2.5750216570588235e-06,0.000661739064,-0.059813732687122645,0.10455342859087935,196,0.08189868160737865,True
38,2.572287277411765e-06,0.000661082781,-0.046400834953351455,0.0793028540705929,192,0.07680548540439089,True
39,2.5743055385098038e-06,0.000661638601,-0.026540570840475453,0.20459904763095915,128,0.12754648390014459,True
40,2.574266551882353e-06,0.000661684753,-0.09871299135534728,0.24325120786725218,64,0.1552791217830412,True
41,2.574716892901961e-06,0.000661640031,-0.07643632332724093,0.18376665349205523,64,0.13866851790691662,True
42,2.5742520556862745e-06,0.000661621388,-0.14661853133324332,0.0800104029668871,192,0.13928954656037637,True
43,2.5756227482352938e-06,0.000662073597,-0.19942468227817878,0.12182073324969944,128,0.15507355521857227,True
44,2.5773976647843136e-06,0.000662311367,-0.10763207733701774,0.08837337688623736,128,0.11882973082879077,True
45,2.575232617137255e-06,0.000661923238,-0.033988625553616814,0.11617062508136855,128,0.1136289382375391,True
46,2.577333721882353e-06,0.000662395404,-0.14685669871495133,0.016665431314915713,128,0.08977453118459369,True
47,2.5759115301568628e-06,0.000662149872,-0.042744298035026995,0.059799208179247554,160,0.06569413595668375,True
48,2.5747150518039217e-06,0.000661705469,-0.08064467237198114,0.06905733046908069,128,0.0881104710977275,True
49,2.574701360901961e-06,0.000661633728,-0.0342678037312617,0.25136959529602,128,0.17394231348757602,True
50,2.5749598470980395e-06,0.000661705881,-0.05316348806462301,0.1302389834466411,64,0.11799979857414779,True
51,2.576542537254902e-06,0.000662214018,-0.1946665075396956,0.02727976027128798,224,0.12161788078652777,True
52,2.5754016819215685e-06,0.000661912256,-0.08214123777527071,0.12023961941635353,200,0.13349401175185038,True
53,2.5748574053725493e-06,0.000661711651,-0.04567142441643801,0.11824444879635276,96,0.13070889094732946,True
54,2.5746223270980395e-06,0.000661593816,-0.060788071885656936,0.08428291428149048,196,0.11764986635819893,True
55,2.5731989298431375e-06,0.000661334501,-0.061128942663103425,0.1174413943096364,128,0.10682074886583134,True
56,2.5773472935686274e-06,0.000662401764,-0.05086908306684135,0.05158858752298401,96,0.08151025674034729,True
57,2.574303123254902e-06,0.000661624483,-0.09829888367418549,0.06345829101063605,112,0.10379056457468762,True
58,2.5742440960784316e-06,0.000661791478,-0.05790752178690217,0.23523678459400243,128,0.1259454074547793,True
59,2.5746083170196074e-06,0.00066160059,-0.09869435880398003,0.22826721994773402,128,0.17930338380561064,True
60,2.575335270196078e-06,0.000661916504,-0.05926384496899095,0.11561552130696628,128,0.12657065932721295,True
61,2.5755158420784317e-06,0.000661945908,-0.05586758183647056,0.0962060702067391,16,0.10619249326192114,True
62,2.574556710196078e-06,0.000661656159,-0.157419220400554,0.034674042894611734,192,0.13151730085059207,True
63,2.5754799535686274e-06,0.000661965238,-0.18568653695243809,0.04794137351384431,96,0.1426655860216191,True
64,2.5754855972549018e-06,0.00066176075,-0.04739284792935761,0.11087633456366297,128,0.08880665145578771,True
65,2.573737107372549e-06,0.000661467433,-0.09012812796929537,0.04122833381994617,96,0.07980522097608515,True
66,2.5749813042745097e-06,0.000661781945,-0.030339367569325315,0.17798331000100642,64,0.15309024471191796,True
67,2.5730935927058826e-06,0.000661443114,-0.12945494623675746,0.04926575840595171,32,0.107653194201922,True
68,2.573241967019608e-06,0.000661351546,-0.22947898976775238,0.11999183789856849,192,0.17299877404201322,True
69,2.5751723070196075e-06,0.000661810616,-0.10791872305479233,0.05496591144390606,128,0.09698874412397415,True
70,2.5742286214901964e-06,0.000661663763,-0.037044736700581726,0.08782381511201032,16,0.08735936085141104,True
71,2.574323261490196e-06,0.00066168195,-0.06540835955184965,0.20883458831762947,64,0.1732714161617358,True
72,2.575538359882353e-06,0.000661927695,-0.024190033762603425,0.20088523944223846,128,0.13232713664033235,True
73,2.5753171751764703e-06,0.000661939489,-0.035532002061135604,0.09153234680980304,160,0.10675589556962756,True
74,2.5747026948627453e-06,0.000661678141,-0.11982420163629326,0.09503749913555937,128,0.13922916398879648,True
75,2.5771756669803925e-06,0.000662318646,-0.30353952080301205,0.06932446837392603,128,0.19373703688574626,True
76,2.5750968827843136e-06,0.000661823893,-0.20628850368144458,0.1911971236916421,64,0.2289824213578444,True
77,2.576354197372549e-06,0.000662258011,-0.3601531956742753,0.05973045273994271,64,0.21694645252529568,True
78,2.5727364167843135e-06,0.000661015831,-0.15998001742393053,0.02602465716229818,128,0.1153893377024649,True
79,2.5742838127450983e-06,0.000661563942,-0.3463385848642516,0.028545099375254068,128,0.2033323923659552,True
80,2.5732352543137253e-06,0.000661336842,-0.06217125078071606,0.10023403233494244,50,0.09832418135098989,True
81,2.5766691582352943e-06,0.00066211788,-0.0985823722938709,0.14077978952219827,16,0.11404069392626857,True
82,2.573668408313725e-06,0.000661533401,-0.07519826862255308,0.08987544430319505,224,0.11374317646201706,True
83,2.5747687276470587e-06,0.000661816461,-0.0956566409256201,0.08560158043956023,96,0.1070631242168046,True
84,2.575378778901961e-06,0.000661880911,-0.03830806548156729,0.10673933611242381,128,0.11480326522907928,True
85,2.5766112068627452e-06,0.000662278849,-0.12223738141937368,0.01519821579326952,128,0.08930798191280312,True
86,2.573347723098039e-06,0.000661257821,-0.2258438367584369,0.027156561965830495,64,0.1485258401718688,True
87,2.5757673904705883e-06,0.000661927821,-0.09226508237886077,0.03382355481778565,128,0.08906079244183973,True
88,2.5748744907058822e-06,0.000661806513,-0.21117126006278575,0.07340416396074789,128,0.15790987741117327,True
89,2.5775920822352943e-06,0.000662501917,-0.04694151687896175,0.21676972148369034,64,0.18344529060556486,True
