PVT,corner,temp,vdd,code,f_hz,edges,idd_run_A,idd_dis_A,vbp,vbn,clk_dis_V,clk_hold_min_V,tstart_s,vmax,vmin
ss_27C_1.20V,mos_ss,27,1.2,1,5376633.1523200255,12,7.88131e-06,7.28701e-06,0.798821,0.321603,1.2,1.2,9.334741379310343e-08,1.22456,-0.019471
ss_27C_1.20V,mos_ss,27,1.2,2,7195279.896387984,12,1.04141e-05,9.7029e-06,0.78702,0.332373,1.2,1.2,7.052574358974357e-08,1.22379,-0.0191622
ss_27C_1.20V,mos_ss,27,1.2,4,10827197.921177961,12,1.54751e-05,1.45206e-05,0.769121,0.348495,1.2,1.2,4.7640773109243685e-08,1.20215,-0.0141574
ss_27C_1.20V,mos_ss,27,1.2,8,18031013.34294991,12,2.5513e-05,2.41044e-05,0.743831,0.370815,1.2,1.2,2.9250099009900997e-08,1.20306,-0.00435228
ss_27C_1.20V,mos_ss,27,1.2,16,32128514.056224946,12,4.54267e-05,4.30762e-05,0.709659,0.400162,1.2,1.2,1.6953157994579946e-08,1.2045,-0.00186291
ss_27C_1.20V,mos_ss,27,1.2,32,58606341.20611832,12,8.43047e-05,8.02372e-05,0.664492,0.437736,1.2,1.2,9.641119708029194e-09,1.20722,-0.0184431
ss_27C_1.20V,mos_ss,27,1.2,64,104646295.52113816,12,0.000158318,0.000151364,0.60565,0.485096,1.2,1.2,5.589584126984128e-09,1.20999,-0.00654388
ss_27C_1.20V,mos_ss,27,1.2,128,176211453.7444933,12,0.000293144,0.000281466,0.530667,0.543546,1.2,1.2,3.4172407407407403e-09,1.21467,-0.0101136
ss_27C_1.20V,mos_ss,27,1.2,255,270540811.08135074,12,0.000517731,0.000499772,0.439611,0.612326,1.2,1.2,2.2700236144578316e-09,1.22064,-0.0144263
ss_27C_1.32V,mos_ss,27,1.32,0,3791612.952149845,12,6.75928e-06,5.97858e-06,0.92663,0.314693,1.32,1.32,1.2905721052631584e-07,1.3451,-0.01734
ss_27C_1.32V,mos_ss,27,1.32,1,5770673.437590145,12,9.89618e-06,8.95553e-06,0.9104,0.32962,1.32,1.32,8.553541379310341e-08,1.33381,-0.0212977
ss_27C_1.32V,mos_ss,27,1.32,2,7762167.19708143,12,1.30321e-05,1.19271e-05,0.898076,0.340821,1.32,1.32,6.435774358974356e-08,1.34747,-0.0246279
ss_27C_1.32V,mos_ss,27,1.32,4,11753643.629525194,12,1.92941e-05,1.78556e-05,0.879241,0.357697,1.32,1.32,4.306977310924369e-08,1.33667,-0.0269353
ss_27C_1.32V,mos_ss,27,1.32,8,19766752.322593343,12,3.17125e-05,2.96597e-05,0.852367,0.381261,1.32,1.32,2.614009900990099e-08,1.35103,-0.0324335
ss_27C_1.32V,mos_ss,27,1.32,16,35676061.36282559,12,5.62585e-05,5.30695e-05,0.815659,0.412549,1.32,1.32,1.492375799457994e-08,1.34943,-0.0268849
ss_27C_1.32V,mos_ss,27,1.32,32,66582329.04987012,12,0.000104497,9.90919e-05,0.766594,0.453045,1.32,1.32,8.3173197080292e-09,1.3328,-0.00356833
ss_27C_1.32V,mos_ss,27,1.32,64,122609122.11868547,12,0.00019712,0.00018775,0.701906,0.504717,1.32,1.32,4.709684126984128e-09,1.32939,-0.0135551
ss_27C_1.32V,mos_ss,27,1.32,128,212089077.4125133,12,0.000367313,0.000351339,0.618415,0.569366,1.32,1.32,2.8311407407407404e-09,1.33347,-0.00850102
ss_27C_1.32V,mos_ss,27,1.32,255,331345261.7627574,12,0.000653181,0.0006286,0.515627,0.646634,1.32,1.32,1.8630236144578316e-09,1.3389,-0.0122314
ss_125C_1.08V,mos_ss,125,1.08,0,2106904.3254745835,9,3.2754e-06,2.88514e-06,0.804243,0.195746,1.08,1.08,2.2991621052631583e-07,1.09323,-0.0125574
ss_125C_1.08V,mos_ss,125,1.08,1,3216261.417728033,9,4.76399e-06,4.29438e-06,0.785325,0.213122,1.08,1.08,1.5204041379310346e-07,1.09581,-0.00749617
ss_125C_1.08V,mos_ss,125,1.08,2,4344331.733171142,9,6.2437e-06,5.69966e-06,0.771379,0.225922,1.08,1.08,1.1350074358974357e-07,1.09593,-0.0181658
ss_125C_1.08V,mos_ss,125,1.08,4,6632179.334129205,9,9.19467e-06,8.49961e-06,0.750779,0.244787,1.08,1.08,7.54377731092437e-08,1.09633,-0.0146418
ss_125C_1.08V,mos_ss,125,1.08,8,11253657.438667558,9,1.50482e-05,1.4061e-05,0.722766,0.270306,1.08,1.08,4.5426099009900996e-08,1.09474,-0.0157251
ss_125C_1.08V,mos_ss,125,1.08,16,20435688.887072403,9,2.65895e-05,2.50412e-05,0.686644,0.302895,1.08,1.08,2.5808457994579944e-08,1.08742,-0.0154419
ss_125C_1.08V,mos_ss,125,1.08,32,37999696.00243197,9,4.906e-05,4.64638e-05,0.641131,0.343349,1.08,1.08,1.4437219708029198e-08,1.08428,-0.00606361
ss_125C_1.08V,mos_ss,125,1.08,64,69208941.79527995,8,9.15912e-05,8.73099e-05,0.584272,0.392918,1.08,1.08,8.254684126984127e-09,1.08648,-0.00408179
ss_125C_1.08V,mos_ss,125,1.08,128,118455342.33593948,9,0.000169409,0.000162069,0.514004,0.452809,1.08,1.08,4.992140740740741e-09,1.08965,-0.00658744
ss_125C_1.08V,mos_ss,125,1.08,255,184029886.45356,8,0.000299657,0.000288909,0.430054,0.522525,1.08,1.08,3.284403614457832e-09,1.09382,-0.00990315
ss_125C_1.20V,mos_ss,125,1.2,0,2284591.572141689,9,4.25982e-06,3.62206e-06,0.913518,0.205817,1.2,1.2,2.098622105263158e-07,1.22002,-0.017086
ss_125C_1.20V,mos_ss,125,1.2,1,3482318.5276757306,9,6.14156e-06,5.39859e-06,0.894098,0.223681,1.2,1.2,1.3908741379310347e-07,1.22104,-0.0228796
ss_125C_1.20V,mos_ss,125,1.2,2,4701457.4518100545,9,8.0216e-06,7.17089e-06,0.8797,0.236909,1.2,1.2,1.037937435897436e-07,1.20535,-0.0251478
ss_125C_1.20V,mos_ss,125,1.2,4,7181844.297615621,9,1.17357e-05,1.07042e-05,0.858286,0.256526,1.2,1.2,6.878777310924371e-08,1.20824,-0.0216089
ss_125C_1.20V,mos_ss,125,1.2,8,12238404.112103773,10,1.91866e-05,1.77302e-05,0.828865,0.28331,1.2,1.2,4.111709900990098e-08,1.2218,-0.0215997
ss_125C_1.20V,mos_ss,125,1.2,16,22492127.755285643,10,3.38294e-05,3.16319e-05,0.790424,0.317921,1.2,1.2,2.300395799457994e-08,1.21442,-0.0172633
ss_125C_1.20V,mos_ss,125,1.2,32,42755141.30574207,10,6.24224e-05,5.88584e-05,0.741273,0.361459,1.2,1.2,1.2579119708029197e-08,1.20424,-0.0134856
ss_125C_1.20V,mos_ss,125,1.2,64,80366471.10825363,11,0.000117282,0.000111076,0.678938,0.415556,1.2,1.2,6.991884126984129e-09,1.20637,-0.00369347
ss_125C_1.20V,mos_ss,125,1.2,128,142247510.66856322,10,0.000217289,0.000207358,0.600777,0.481838,1.2,1.2,4.122740740740741e-09,1.20935,-0.00593306
ss_125C_1.20V,mos_ss,125,1.2,255,226690544.7373789,11,0.00038779,0.000372149,0.506013,0.560123,1.2,1.2,2.6673036144578317e-09,1.21325,-0.00891232
ss_125C_1.32V,mos_ss,125,1.32,0,2448639.7806018735,10,5.45435e-06,4.41475e-06,1.024,0.21479,1.32,1.32,1.9456421052631587e-07,1.34185,-0.0184106
ss_125C_1.32V,mos_ss,125,1.32,1,3722038.1881118086,10,7.73312e-06,6.58644e-06,1.00408,0.233138,1.32,1.32,1.2892941379310344e-07,1.33261,-0.0244277
ss_125C_1.32V,mos_ss,125,1.32,2,5015045.135406215,10,1.00434e-05,8.75362e-06,0.989229,0.246792,1.32,1.32,9.636674358974357e-08,1.33036,-0.0192696
ss_125C_1.32V,mos_ss,125,1.32,4,7642922.65362275,10,1.46069e-05,1.3076e-05,0.967001,0.267157,1.32,1.32,6.403177310924369e-08,1.33864,-0.0282299
ss_125C_1.32V,mos_ss,125,1.32,8,13014055.179593945,10,2.36862e-05,2.16777e-05,0.936184,0.295186,1.32,1.32,3.824809900990098e-08,1.33891,-0.00221435
ss_125C_1.32V,mos_ss,125,1.32,16,24026332.860815454,10,4.16631e-05,3.87228e-05,0.89547,0.331762,1.32,1.32,2.123925799457994e-08,1.33644,-0.0155266
ss_125C_1.32V,mos_ss,125,1.32,32,46330615.270570755,11,7.69675e-05,7.22019e-05,0.842776,0.378277,1.32,1.32,1.1422519708029197e-08,1.32417,-0.00498698
ss_125C_1.32V,mos_ss,125,1.32,64,89305648.5822728,11,0.000144589,0.00013672,0.775109,0.436753,1.32,1.32,6.195184126984128e-09,1.32638,-0.00563906
ss_125C_1.32V,mos_ss,125,1.32,128,163132137.0309954,12,0.000269743,0.000256435,0.689195,0.509271,1.32,1.32,3.5588407407407407e-09,1.32937,-0.00554952
ss_125C_1.32V,mos_ss,125,1.32,255,267122555.82861403,12,0.0004836,0.000462809,0.583711,0.596011,1.32,1.32,2.2592836144578325e-09,1.3332,-0.00838023
ff_-40C_1.08V,mos_ff,-40,1.08,0,5473453.74931582,12,7.84683e-06,7.01372e-06,0.734268,0.25855,1.08,1.08,9.044321052631584e-08,1.09854,-0.0122931
ff_-40C_1.08V,mos_ff,-40,1.08,1,8280202.0369296875,12,1.14579e-05,1.04957e-05,0.720609,0.271055,1.08,1.08,5.993241379310342e-08,1.10205,-0.0198666
ff_-40C_1.08V,mos_ff,-40,1.08,2,11093854.00488129,12,1.5157e-05,1.39667e-05,0.710113,0.280488,1.08,1.08,4.521774358974356e-08,1.09722,-0.0226313
ff_-40C_1.08V,mos_ff,-40,1.08,4,16680567.13928269,12,2.24197e-05,2.08791e-05,0.693887,0.294772,1.08,1.08,3.06137731092437e-08,1.10927,-0.0322422
ff_-40C_1.08V,mos_ff,-40,1.08,8,27754648.90369142,12,3.68518e-05,3.45949e-05,0.670411,0.314838,1.08,1.08,1.886909900990099e-08,1.10633,-0.033737
ff_-40C_1.08V,mos_ff,-40,1.08,16,49448647.57948861,12,6.51932e-05,6.16173e-05,0.637937,0.341615,1.08,1.08,1.095525799457994e-08,1.1036,-0.0219639
ff_-40C_1.08V,mos_ff,-40,1.08,32,89839187.85374184,12,0.000120114,0.000114078,0.594226,0.376275,1.08,1.08,6.286519708029197e-09,1.09686,-0.00365305
ff_-40C_1.08V,mos_ff,-40,1.08,64,158528852.25110954,12,0.000223098,0.000212965,0.536714,0.420093,1.08,1.08,3.7058841269841285e-09,1.08917,-0.0110208
ff_-40C_1.08V,mos_ff,-40,1.08,128,260078023.40702263,12,0.00040575,0.000389467,0.463383,0.473722,1.08,1.08,2.3362407407407404e-09,1.09337,-0.0097384
ff_-40C_1.08V,mos_ff,-40,1.08,255,382657942.0655874,12,0.000697865,0.000674132,0.375414,0.535244,1.08,1.08,1.6224436144578312e-09,1.09872,-0.0134544
ff_-40C_1.20V,mos_ff,-40,1.2,0,5730002.292000907,12,9.85612e-06,8.5959e-06,0.847537,0.265101,1.2,1.2,8.519221052631584e-08,1.22193,-0.0177311
ff_-40C_1.20V,mos_ff,-40,1.2,1,8678295.582747504,12,1.4307e-05,1.28686e-05,0.833214,0.278132,1.2,1.2,5.645841379310345e-08,1.22099,-0.0209195
ff_-40C_1.20V,mos_ff,-40,1.2,2,11642798.928862493,12,1.88746e-05,1.71305e-05,0.822123,0.288024,1.2,1.2,4.2455743589743606e-08,1.22596,-0.0252255
ff_-40C_1.20V,mos_ff,-40,1.2,4,17553098.12181848,12,2.78939e-05,2.56252e-05,0.804847,0.3031,1.2,1.2,2.8734773109243688e-08,1.23574,-0.034857
ff_-40C_1.20V,mos_ff,-40,1.2,8,29446407.538280174,12,4.56242e-05,4.25097e-05,0.779622,0.324456,1.2,1.2,1.7426099009900983e-08,1.22823,-0.0289439
